"Novalnet Merchant ID","Novalnet Händler ID"
"Enter your Novalnet Merchant ID","Geben Sie Ihre Novalnet Händler-ID ein"
"Novalnet Auth Code","Novalnet Authorisierungsschlüssel"
"Enter your Novalnet Merchant Authorisation code","Geben Sie Ihren Novalnet-Authorisierungsschlüssel ein"
"Novalnet Product ID","Novalnet Produkt ID"
"Enter your Novalnet Product ID","Geben Sie Ihre Novalnet Produkt-ID ein"
"Novalnet Tariff ID","Novalnet Tarif ID"
"Enter your Novalnet Tariff ID","Geben Sie Ihre Novalnet Tarif-ID ein"
"Novalnet Password","Novalnet Paymentzugriffsschlüssel"
"Enter your Novalnet Password","Geben Sie Ihr Novalnet Paymentzugriffsschlüssel ein - Notwendig für Kreditkartenzahlungen mit 3D-Secure, Sofortüberweisung, PayPal & iDEAL"
"Novalnet Live Mode","Live-Modus aktivieren"
"Selected payment methods will be in Live Mode","Für ausgewählten Zahlungsarten wird der Live-Modus gesetzt"
"PAYPAL API User Name","PayPal API Benutzername"
"Please enter your PayPal API username","Geben Sie Ihren PayPal API Benutzernamen ein"
"PAYPAL API Password","PayPal API Passwort"
"Please enter your PayPal API password","Geben Sie Ihr PayPal API Passwort ein"
"PAYPAL API Signature","PayPal API Signatur"
"Please enter your PayPal API signature","Geben Sie Ihre PayPal API Signatur ein"
"Referrer ID","Referrer-ID"
"Novalnet Global Configuration","Novalnet Zentrale Einstellungen"
"Referrer ID Desc","ID des Partners bei Novalnet, der Ihnen Novalnet empfohlen hat (nur Ziffern erlaubt, ansonsten leer lassen)"
"Novalnet Credit Card","Novalnet Kreditkarte"
"Novalnet Direct Debit SEPA","Novalnet Lastschrift SEPA"
"Novalnet Invoice","Novalnet Kauf auf Rechnung"
"Novalnet Prepayment","Novalnet Vorauskasse"
"Novalnet Instant Bank Transfer","Novalnet Sofortüberweisung"
"Novalnet PayPal","Novalnet PayPal"
"Novalnet iDEAL","Novalnet iDEAL"
"Enable Novalnet Module","Modul aktivieren"
"Novalnet Title","Novalnet Titel"
"Current Configuration Scope:","Aktueller Konfig.-Bereich:"
"Enable cc3d","3D Secure (Achtung : dies muss zuerst bei Novalnet eingerichtet werden: bitte wenden Sie sich an support@novalnet.de, falls Sie dies wünschen)"
"cc3d description","(Bitte beachten Sie; dass dieses Verfahren nur eine geringe Akzeptanz bei Endkunden hat). Sobald 3D-Secure für Kreditkarten aktiviert ist, läßt die Bank den Käufer ein Passwort eingeben, um den Mißbrauch der Kreditkarte zu verhindern. Dies kann als Beweis verwendet werden, dass der Käufer tatsächlich der Inhaber der Kreditkarte ist."
"Order Completion Status","Bestellen Abschluss status"
