"Product activation key","Product activation key"
"Enter Novalnet Product activation key","Enter Novalnet Product activation key"
"Novalnet Global Configuration","Novalnet Global Configuration"
"Novalnet Merchant ID","Merchant ID"
"Authentication code","Authentication code"
"Project ID","Project ID"
"Select Tariff ID","Select Tariff ID"
"Select Novalnet tariff ID","Select Novalnet tariff ID"
"Subscription Tariff ID","Subscription Tariff ID"
"Enter Novalnet subscription tariff ID","Select Novalnet subscription tariff ID"
"Payment access key","Payment access key"
"Set a limit for on-hold transaction","Set a limit for on-hold transaction (in cents)"
"Manual checking of order description","In case the order amount exceeds mentioned limit, the transaction will be set on hold till your confirmation of transaction"
"Novalnet Live Mode","Enable Live Mode"
"Selected payment methods will be in Live Mode","Selected payment methods will be in Live Mode"
"Referrer ID","Referrer ID"
"Referrer id description","Enter the referrer ID of the person/company who recommended you Novalnet"
"Enable auto-fill","Enable auto-fill"
"Autofill description","The payment details will be filled automatically in the payment form during the checkout process"
"Enable default payment method","Enable default payment method"
"Payment last success description","For the registered users the last chosen payment method will be selected by default during the checkout"
"Novalnet Use Proxy","Proxy server"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"OnHold transaction completion status","Confirmation order status"
"OnHold cancellation / VOID Transaction status","Cancellation order status"
"Gateway timeout","Gateway timeout (in seconds)"
"Gateway timeout description","In case the order processing time exceeds the gateway timeout, the order will not be placed"
"Display payment method logo","Display payment method logo"
"The payment method logo will be displayed on the checkout page","The payment method logo will be displayed on the checkout page"
"Merchant script management","Merchant script management"
"Enable debug mode","Enable debug mode"
"Debug mode description","Set the debug mode to execute the merchant script in debug mode"
"Enable test mode","Enable test mode"
"Test mode description","The payment will be processed in the test mode therefore amount for this transaction will not be charged"
"Callback order status","Callback order status"
"Enable E-mail notification for callback","Enable E-mail notification for callback"
"E-mail To Address","E-mail address (To)"
"Email To address description","E-Mail address of the recipient"
"E-mail Bcc Address","E-mail address (Bcc)"
"Email Bcc address description","E-Mail address of the recipient for BCC"
"Vendor script url","Notification URL"
"Vendor script url description","The notification URL is used to keep your database/system actual and synchronizes with the Novalnet transaction status."
"Form mode","Form mode"
"Local form","Local form"
"Iframe form","Iframe form"
"Select shopping type","Select shopping type"
"One click shopping","One click shopping"
"Novalnet Credit Card","Novalnet Credit Card"
"Novalnet Direct Debit SEPA","Novalnet Direct Debit SEPA"
"Novalnet Invoice","Novalnet Invoice"
"Novalnet Prepayment","Novalnet Prepayment"
"Novalnet Instant Bank Transfer","Novalnet Instant Bank Transfer"
"Novalnet PayPal","Novalnet PayPal"
"Novalnet iDEAL","Novalnet iDEAL"
"Novalnet Eps","Novalnet eps"
"Novalnet Giropay","Novalnet giropay"
"Enable module","Enable payment method"
"Novalnet Title","Novalnet Title *"
"Enable 3D secure","Enable 3D secure"
"CC-3D secure description","The 3D-Secure will be activated for credit cards. The issuing bank prompts the buyer for a password what, in turn, help to prevent a fraudulent payment. It can be used by the issuing bank as evidence that the buyer is indeed their card holder. This is intended to help decrease a risk of charge-back."
"Order completion status","Order completion status"
"Order status for the pending payment","Order status for the pending payment"
"The order has been updated.","The order has been updated."
"Novalnet Credit Card Types","Credit Card type"
"Transaction reference 1","Transaction reference 1"
"Transaction reference 2","Transaction reference 2"
"Notification for the buyer","Notification for the buyer"
